,country,income_group,population_2020,overall_performance,factor_knowledge,factor_technology,factor_future_readiness,subfact_know_talent,subfact_know_training_education,subfact_know_scientific_concentration,subfact_tech_regulatory_framework,subfact_tech_capital,subfact_tech_technological_framework,subfact_fr_adaptive_attitudes,subfact_fr_business_agility,subfact_fr_it_integration,gini_value,totalcount,avg,vulnper1k,exposureperperson
114,Kenya,Lower middle,53771000.0,,,,,,,,,,,,,,40.8,34923,7.700197560556605,0.649476483606405,0.005001526845325547
115,Kiribati,Lower middle,119000.0,,,,,,,,,,,,,,37.0,31593,7.478577305233846,265.4873949579832,1.9860336134453782
116,Kuwait,High,4271000.0,,,,,,,,,,,,,,,21068,9.17481488513385,4.932802622336689,0.04525755092484195
117,Kyrgyz Republic,Lower middle,6524000.0,,,,,,,,,,,,,,27.3,8947,7.876517268358107,1.3713979153893316,0.010801839362354381
118,Laos,Lower middle,7276000.0,,,,,,,,,,,,,,36.4,5206,7.572935074913562,0.7155030236393622,0.005418457943925235
119,Latvia,High,1886000.0,38.0,36.0,34.0,42.0,27.0,27.0,49.0,37.0,50.0,13.0,51.0,45.0,37.0,34.2,108938,8.067863371826178,57.761399787910925,0.46601108165429495
120,Lebanon,Upper middle,6825000.0,,,,,,,,,,,,,,31.8,1976321,7.6526057158224425,289.5708424908425,2.2181097289377285
121,Lesotho,Lower middle,2142000.0,,,,,,,,,,,,,,54.2,7142,7.635759272218334,3.3342670401493932,0.0254703548085901
122,Liberia,Low,5058000.0,,,,,,,,,,,,,,35.3,666,7.448048048048049,0.13167259786476868,0.0009807038355081061
123,Libya,Upper middle,6871000.0,,,,,,,,,,,,,,,49882,7.325929116662991,7.259787512734682,0.05321774123126181
124,Liechtenstein,High,38000.0,,,,,,,,,,,,,,,7367,7.636959175369594,193.8684210526316,1.4817710526315793
125,Lithuania,High,2722000.0,29.0,25.0,29.0,30.0,23.0,16.0,40.0,27.0,42.0,18.0,47.0,18.0,32.0,37.4,382533,8.008226873599813,140.53379867744306,1.1254441954445258
126,Luxembourg,High,626000.0,28.0,35.0,17.0,27.0,39.0,23.0,41.0,8.0,15.0,35.0,48.0,34.0,16.0,33.8,114164,7.839950422199642,182.370607028754,1.4297765175718848
127,Macao,High,649000.0,,,,,,,,,,,,,,,10772,7.6152896398069005,16.597842835130972,0.12639738058551608
128,Madagascar,Low,27691000.0,,,,,,,,,,,,,,42.6,29150,7.48004662643993,1.0526885991838504,0.00787902206493084
129,Malawi,Low,19130000.0,,,,,,,,,,,,,,44.7,2894,7.805943331029716,0.1512807109252483,0.0011808886565603763
130,Malaysia,Upper middle,32366000.0,26.0,19.0,20.0,30.0,30.0,8.0,26.0,35.0,18.0,15.0,30.0,30.0,55.0,41.0,269963,7.660070231586432,8.340944200704444,0.06389245504541802
131,Maldives,Upper middle,541000.0,,,,,,,,,,,,,,,239849,7.289000283465616,443.3438077634011,3.2320585951940846
132,Mali,Low,20251000.0,,,,,,,,,,,,,,,58567,7.104209915323679,2.892054713347489,0.020548921040936242
133,Malta,High,442000.0,,,,,,,,,,,,,,33.0,98799,7.4942811747323255,223.52714932126696,1.6754296380090499
134,Marshall Islands,Upper middle,59000.0,,,,,,,,,,,,,,29.4,4428,7.475570106118763,75.05084745762711,0.5611745762711865
135,Martinique,,375000.0,,,,,,,,,,,,,,,40281,7.445340813185718,107.416,0.7998479999999996
136,Mauritania,Lower middle,4650000.0,,,,,,,,,,,,,,32.6,2758,7.349601160261059,0.5931182795698925,0.004359182795698925
137,Mauritius,High,1272000.0,,,,,,,,,,,,,,38.5,228508,7.846275234014993,179.64465408805032,1.4095599056603774
138,Mayotte,,273000.0,,,,,,,,,,,,,,,10031,7.690213274865457,36.743589743589745,0.2826505494505494
139,Mexico,Upper middle,128933000.0,54.0,52.0,56.0,62.0,45.0,57.0,43.0,50.0,53.0,54.0,52.0,50.0,53.0,48.3,332152,7.789665273730106,2.5761597108575773,0.02006742183924986
